site,year,month,veg_type,area_ha,area_prop_h,area_prop_w
Franks Tract,2007,6,sav,525.98,0.24961559634769076,0.2853933803581118
Franks Tract,2007,6,fav,3.9799999999999995,0.0018887981928282617,0.002159522517634292
Franks Tract,2008,6,sav,23.89,0.011339687482200158,0.012962561041779707
Franks Tract,2008,6,fav,2.94,0.0013955077939584956,0.001595225176342919
Franks Tract,2014,11,sav,271.27,0.13436591394281017,0.14718936516549103
Franks Tract,2014,11,fav,76.19999999999999,0.03774351252420884,0.04134563212154096
Franks Tract,2015,9,sav,1220.54,0.5822242575154793,0.6622571893651654
Franks Tract,2015,9,fav,69.03,0.032928818798477345,0.03745523602821487
Franks Tract,2016,10,sav,717.76,0.3424215101162619,0.3894519804666305
Franks Tract,2016,10,fav,53.52,0.025532767528731518,0.029039609332609878
Franks Tract,2017,10,sav,1426.11,0.6802467015826679,0.7737981551817688
Franks Tract,2017,10,fav,52.23,0.024913425488680918,0.028339663591969613
Franks Tract,2018,10,sav,1268.28,0.6003578630463802,0.6881606077048291
Franks Tract,2018,10,fav,50.8,0.024046881952531074,0.027563754747693976
Franks Tract,2019,10,sav,1064.12,0.5118520798860968,0.5773846988605534
Franks Tract,2019,10,fav,50.45,0.024266941162889136,0.027373846988605535
Franks Tract,2020,7,sav,831.49,0.39792016615699727,0.45116115029842646
Franks Tract,2020,7,fav,53.23,0.025473896793150805,0.028882257189365164
Franks Tract,2021,7,sav,1060.2392,0.5362700815654744,0.5752790016277808
Franks Tract,2021,7,fav,49.873999999999995,0.025226320671784694,0.027061313076505694
